# Version 1.00
#
power[dBm],re:Trc1_S11[U],im:Trc1_S11[U],Trc2_S12[dB],Trc3_S21[dB],Trc4_S11[dB],Trc5_b2d1/a1d1sam[dB],Trc6_S12[dB],Trc7_S22[dB],
-3.855398143624817E+001,6.523789564606726E-002,2.227735447646273E-003,-6.603553647062077E+001,-1.170656157086119E+001,-2.370493986648890E+001,-2.569902226759983E+000,-6.603553647062077E+001,-2.385064576981839E+001,
-3.853444064484611E+001,6.348151630733151E-002,1.724076877262177E-003,-5.674967885172210E+001,-2.009290938229537E+001,-2.394385200757619E+001,-2.705966061571478E+000,-5.674967885172210E+001,-2.391974834936374E+001,
-3.851489985344406E+001,6.117313913702534E-002,4.611078035328483E-003,-6.460255903435908E+001,-9.801342176557192E+000,-2.424417889299945E+001,-1.791188506210433E+000,-6.460255903435908E+001,-2.292015181994171E+001,
-3.849535906204201E+001,6.274292427668272E-002,-4.546390170202697E-003,-6.706226915263639E+001,-1.417347309837023E+001,-2.402596173094467E+001,-2.539706831061908E+000,-6.706226915263639E+001,-2.616857775107875E+001,
-3.847581827063996E+001,6.172315560759989E-002,-3.709983807870482E-005,-6.254081294036437E+001,-1.534067422534526E+001,-2.419103600409947E+001,-2.219792760044067E+000,-6.254081294036437E+001,-2.796058371704529E+001,
-3.845627747923791E+001,6.516630675860999E-002,2.741191662739159E-003,-6.594085513836714E+001,-2.086923308804997E+001,-2.371186009893622E+001,-2.108809422476011E+000,-6.594085513836714E+001,-2.889378126252744E+001,
-3.843673668783586E+001,6.274253728071914E-002,1.343353968385763E-003,-7.019604675067994E+001,-6.507789610159145E+000,-2.404676804661640E+001,-2.342688143342909E+000,-7.019604675067994E+001,-2.246165619083268E+001,
-3.841719589643380E+001,6.248532460079143E-002,3.041395483020334E-003,-7.044719225465157E+001,-1.428459913003400E+001,-2.407416254301603E+001,-2.497763129932225E+000,-7.044719225465157E+001,-2.701961813495932E+001,
-3.839765510503175E+001,6.202102402841595E-002,4.442587269116449E-003,-6.034231597729003E+001,-1.348740585518758E+001,-2.412699507773819E+001,-2.277659735082614E+000,-6.034231597729003E+001,-2.839924170594426E+001,
-3.837811431362970E+001,6.478194998351705E-002,-1.488131795544831E-003,-7.402005110642027E+001,-1.906848549640117E+001,-2.376862856857358E+001,-2.412447111268383E+000,-7.402005110642027E+001,-2.486615796559207E+001,
-3.835857352222765E+001,6.380448218592115E-002,-7.971121636021272E-004,-6.184214996810552E+001,-1.860365608596671E+001,-2.390229845400338E+001,-2.029853224354666E+000,-6.184214996810552E+001,-2.177481135443009E+001,
-3.833903273082560E+001,6.311952392656879E-002,3.009721618115792E-003,-7.002218953691889E+001,-1.194700411778708E+001,-2.398686254356371E+001,-2.176000773724325E+000,-7.002218953691889E+001,-2.535201794941380E+001,
-3.831949193942355E+001,6.656413370285166E-002,1.909826042285101E-003,-5.882362896683564E+001,-1.588387927025813E+001,-2.353162065931534E+001,-2.346186688672638E+000,-5.882362896683564E+001,-2.577758679220866E+001,
-3.829995114802149E+001,6.459062639416476E-002,1.165791152945661E-003,-6.207175322712461E+001,-1.164076882799525E+001,-2.379519553091700E+001,-2.349145683656060E+000,-6.207175322712461E+001,-2.447588004498209E+001,
-3.828041035661944E+001,6.585919315811496E-002,-2.247617621310884E-003,-6.130772560067919E+001,-1.302409972558452E+001,-2.362261662195005E+001,-2.336493611951037E+000,-6.130772560067919E+001,-2.616976794082125E+001,
-3.826086956521739E+001,6.534737873089386E-002,2.788593156784413E-003,-7.191426386728649E+001,-1.844267618924341E+001,-2.368753518667295E+001,-2.140045353234835E+000,-7.191426386728649E+001,-2.399995809391224E+001,
-3.824132877381534E+001,6.164947556002481E-002,-2.855607564866021E-004,-6.912870007822328E+001,-1.107551597072426E+001,-2.420131909123258E+001,-2.220098158489547E+000,-6.912870007822328E+001,-2.507146087424387E+001,
-3.822178798241329E+001,6.869168409865671E-002,-4.236641916287831E-004,-6.154023144684174E+001,-1.256822806705258E+001,-2.326175151939156E+001,-2.859193576581841E+000,-6.154023144684174E+001,-2.322132587544044E+001,
-3.820224719101124E+001,6.551291645972469E-002,-6.635929994387045E-005,-5.841343067598704E+001,-1.376191463074311E+001,-2.367345687430801E+001,-2.716263293989947E+000,-5.841343067598704E+001,-2.491890609858574E+001,
-3.818270639960918E+001,6.609894791178320E-002,-2.489859797221284E-003,-7.739478535977464E+001,-1.042960836259088E+001,-2.358995109843585E+001,-2.397099460713260E+000,-7.739478535977464E+001,-2.366088933118552E+001,
-3.816316560820713E+001,6.585541549058976E-002,3.120264336490184E-003,-6.559775160268141E+001,-1.562740389490606E+001,-2.361843150533407E+001,-2.625759913202157E+000,-6.559775160268141E+001,-2.868010336201175E+001,
-3.814362481680508E+001,6.033167963943636E-002,2.271545234940576E-003,-6.742841386821407E+001,-1.196382195798637E+001,-2.438293950030664E+001,-2.583387513517276E+000,-6.742841386821407E+001,-2.728715013434308E+001,
-3.812408402540303E+001,6.489274652947323E-002,-2.761000219021815E-004,-5.438300233028932E+001,-9.118842348194058E+000,-2.375599826845317E+001,-1.929327693883171E+000,-5.438300233028932E+001,-2.398740725877569E+001,
-3.810454323400098E+001,6.348067300526289E-002,1.297667763596698E-003,-6.186569846030886E+001,-1.245342951145792E+001,-2.394535513340017E+001,-2.247432078399710E+000,-6.186569846030886E+001,-2.403084692257468E+001,
-3.808500244259893E+001,6.115658767678469E-002,1.303766907929923E-003,-6.381565275086702E+001,-1.391329355656825E+001,-2.426916176686997E+001,-2.217997687259681E+000,-6.381565275086702E+001,-2.246342431702357E+001,
-3.806546165119688E+001,6.366826802812479E-002,-2.208695090605927E-003,-6.561363963551892E+001,-1.524945616295763E+001,-2.391631593891862E+001,-2.156970603476356E+000,-6.561363963551892E+001,-2.442396977124552E+001,
-3.804592085979482E+001,6.368915975561879E-002,-9.548967986913457E-004,-5.559847561671330E+001,-1.350883924086680E+001,-2.391771346180489E+001,-2.406689974970296E+000,-5.559847561671330E+001,-3.788084527761308E+001,
-3.802638006839277E+001,6.642363797552513E-002,-1.873648564473095E-004,-6.046327122897692E+001,-1.071341575585368E+001,-2.355351228650180E+001,-2.242044426010740E+000,-6.046327122897692E+001,-3.098736097099805E+001,
-3.800683927699072E+001,6.410040414727421E-002,6.163400211850064E-003,-6.513867381896347E+001,-1.457655517931705E+001,-2.382281745509054E+001,-1.914480975161333E+000,-6.513867381896347E+001,-2.228949696199060E+001,
-3.798729848558867E+001,6.644690934889393E-002,1.252273201910404E-003,-6.214344593234474E+001,-1.535473180645096E+001,-2.354896203897560E+001,-2.075998876824710E+000,-6.214344593234474E+001,-3.029803068886791E+001,
-3.796775769418662E+001,6.545303114154889E-002,4.620082682819701E-003,-6.757523544951150E+001,-1.338695669720080E+001,-2.365982009819823E+001,-2.092858813273288E+000,-6.757523544951150E+001,-2.669563557162478E+001,
-3.794821690278457E+001,6.526622035504227E-002,2.548639670368824E-003,-7.107209929585814E+001,-1.808072100150336E+001,-2.369961325098020E+001,-1.991023906771722E+000,-7.107209929585814E+001,-2.367879269520863E+001,
-3.792867611138251E+001,6.253108995931175E-002,2.052543451304781E-003,-6.089103153777665E+001,-1.508350817698505E+001,-2.407340328467023E+001,-2.268396960524953E+000,-6.089103153777665E+001,-2.647089253688301E+001,
-3.790913531998046E+001,6.354718965878477E-002,5.953507380844000E-003,-7.829861824729819E+001,-9.380964885072405E+000,-2.390012069573678E+001,-2.556425067125338E+000,-7.829861824729819E+001,-2.489395208358675E+001,
-3.788959452857841E+001,6.484693587286633E-002,3.116471864362600E-003,-6.829742065624819E+001,-1.182359547481297E+001,-2.375219165760332E+001,-2.163863626162213E+000,-6.829742065624819E+001,-2.563451308504063E+001,
-3.787005373717636E+001,6.325547181344560E-002,-2.885000113032281E-003,-6.894421882858806E+001,-2.091656567249172E+001,-2.396901340092697E+001,-2.036996820276501E+000,-6.894421882858806E+001,-2.166573587695429E+001,
-3.785051294577431E+001,6.371416944573799E-002,-1.000429348823145E-003,-6.055472763493765E+001,-2.352889431354299E+001,-2.391420886575023E+001,-2.436912296694305E+000,-6.055472763493765E+001,-2.323174723262179E+001,
-3.783097215437226E+001,6.581211345704377E-002,3.557215892123785E-003,-6.534837655773156E+001,-8.754148593113920E+000,-2.362121374585781E+001,-2.493165772077005E+000,-6.534837655773156E+001,-2.096742361178030E+001,
-3.781143136297020E+001,6.363017635242710E-002,2.591155603667388E-003,-7.461275916707180E+001,-2.954453224972921E+001,-2.391954156076243E+001,-2.133366883266800E+000,-7.461275916707180E+001,-2.233700382223619E+001,
-3.779189057156815E+001,6.643519218387106E-002,-3.084650854075148E-004,-6.789639490436393E+001,-1.164312303592819E+001,-2.355194246085328E+001,-2.103538877619755E+000,-6.789639490436393E+001,-3.934390236450322E+001,
-3.777234978016610E+001,6.405914857606176E-002,2.434405480891439E-003,-5.846836417652798E+001,-1.622377211401048E+001,-2.386210925775278E+001,-2.177199722913608E+000,-5.846836417652798E+001,-2.742245684615852E+001,
-3.775280898876405E+001,6.499220090887509E-002,2.335764095750881E-003,-6.056767836904555E+001,-1.190609417986504E+001,-2.373716929098059E+001,-2.108890649791843E+000,-6.056767836904555E+001,-2.391698559704252E+001,
-3.773326819736199E+001,6.089674104650077E-002,7.964566660400045E-004,-6.766621482261252E+001,-2.739125738106894E+001,-2.430737614984867E+001,-1.960325100053321E+000,-6.766621482261252E+001,-2.452340478910600E+001,
-3.771372740595994E+001,6.916059451741013E-002,2.707299134940497E-003,-6.332020339169863E+001,-7.795801225244374E+000,-2.319617586890753E+001,-2.025477861698534E+000,-6.332020339169863E+001,-2.697114424750138E+001,
-3.769418661455789E+001,6.184814626959113E-002,-2.378529369223430E-003,-7.383888174235408E+001,-1.676599437073486E+001,-2.416704784931300E+001,-2.431231057027453E+000,-7.383888174235408E+001,-3.596370373424593E+001,
-3.767464582315584E+001,6.562912837253386E-002,-2.389328679812043E-003,-6.426644382138699E+001,-1.299978884895938E+001,-2.365231479156189E+001,-2.269622348701610E+000,-6.426644382138699E+001,-2.949099618128143E+001,
-3.765510503175378E+001,6.522153327505734E-002,3.135437131032209E-003,-7.258766142040466E+001,-1.888901931519814E+001,-2.370215461959288E+001,-2.462216974709529E+000,-7.258766142040466E+001,-2.635347186967021E+001,
-3.763556424035173E+001,6.576713153931976E-002,1.938315442688777E-003,-7.210639538427694E+001,-2.206753766196548E+001,-2.363605125076560E+001,-2.396107650225796E+000,-7.210639538427694E+001,-1.946617513132192E+001,
-3.761602344894968E+001,6.745005989804877E-002,1.034119783581209E-003,-6.798414354733512E+001,-1.710370695782185E+001,-2.341933247784965E+001,-2.325366300035090E+000,-6.798414354733512E+001,-2.764302790494840E+001,
